Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,09:25:41,232,sunish,old,1,401.0,0,0.058,0.0365,92.5,0.738,1.97,29.71,6,1.42,1,2.84,29.40,29.71,29.55,98.37,98.17,21.224,22.306,51.31,53.93,400.0,2000,6,99.49,6.77,0.174,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,09:27:11,232,sunish,old,1,491.0,0,-0.498,0.0423,68.1,0.845,1.95,29.71,6,1.42,1,2.84,29.39,29.71,29.55,50.25,50.94,21.285,22.524,51.48,54.48,400.0,2000,6,99.49,6.77,0.179,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,09:28:40,232,sunish,old,1,580.0,0,0.349,0.0492,83.6,0.959,1.91,29.65,6,1.42,1,2.84,29.38,29.65,29.55,98.69,98.02,21.342,22.748,51.63,55.04,400.1,2000,5,99.48,6.66,0.169,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,09:30:21,232,sunish,old,1,681.5,0,1.3,0.0562,108,1.08,1.88,29.62,6,1.42,1,2.84,29.38,29.62,29.55,151.59,149.40,21.389,22.967,51.75,55.57,400.0,2000,4,99.48,6.67,0.179,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,09:32:16,232,sunish,old,1,796.5,0,3.16,0.0637,159,1.21,1.86,29.62,6,1.42,1,2.84,29.38,29.62,29.55,251.40,246.22,21.431,23.198,51.86,56.14,400.0,2000,5,99.48,6.41,0.182,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,09:34:19,232,sunish,old,1,919.0,0,5.28,0.0698,210,1.3,1.83,29.56,6,1.42,1,2.84,29.37,29.56,29.55,350.49,341.90,21.465,23.364,51.98,56.58,400.0,2001,6,99.47,5.83,0.171,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,09:36:08,232,sunish,old,1,1028.0,0,8.79,0.073,326,1.35,1.83,29.59,6,1.42,1,2.84,29.37,29.59,29.55,550.37,536.10,21.495,23.474,52.02,56.81,400.0,2000,9,99.46,4.33,0.178,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,09:38:01,232,sunish,old,1,1141.0,0,11.6,0.0717,451,1.33,1.83,29.63,6,1.42,1,2.84,29.41,29.63,29.55,750.86,732.06,21.542,23.494,52.03,56.74,400.0,2000,12,99.45,2.5,0.172,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,09:39:49,232,sunish,old,1,1249.0,0,13.1,0.068,590,1.27,1.84,29.62,6,1.42,1,2.84,29.41,29.62,29.55,950.11,928.63,21.588,23.445,52.14,56.63,400.1,1999,11,99.44,0.471,0.173,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,09:43:17,232,sunish,old,1,1457.0,0,15.4,0.0577,857,1.1,1.87,29.70,6,1.42,1,2.84,29.43,29.70,29.55,1349.87,1324.66,21.678,23.288,52.28,56.17,400.2,1999,12,99.45,-5.07,0.2,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,09:47:46,232,sunish,old,1,1726.0,0,16.4,0.0392,1.25E+03,0.776,1.93,29.79,6,1.42,1,2.84,29.43,29.79,29.55,2001.13,1974.24,21.786,22.923,52.53,55.28,400.0,2001,11,99.44,-15.2,0.203,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
