Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,13:17:24,caferana1,sh,y2,3,2230.5,0,-1.15,0.0657,78.9,1.05,1.56,30.41,6,1.42,1,2.84,30.26,30.41,30.03,49.95,52.13,26.209,28.240,60.16,64.82,300.2,1500,17,99.26,4.93,-0.581,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,13:19:41,caferana1,sh,y2,3,2367.5,0,-0.906,0.12,111,1.71,1.42,30.40,6,1.42,1,2.84,30.26,30.40,30.03,99.91,101.37,26.267,29.583,60.28,67.89,300.2,1499,24,99.26,5.37,-0.619,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,13:21:31,caferana1,sh,y2,3,2477.5,0,-0.555,0.153,153,2.07,1.36,30.44,6,1.42,1,2.84,30.27,30.44,30.03,149.99,150.48,26.322,30.325,60.39,69.57,300.2,1499,11,99.26,5.67,-0.631,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,13:23:06,caferana1,sh,y2,3,2572.5,0,0.145,0.159,242,2.16,1.37,30.56,6,1.42,1,2.84,30.27,30.56,30.03,250.12,248.76,26.340,30.526,60.41,70.01,300.2,1499,16,99.26,5.97,-0.626,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,13:24:28,caferana1,sh,y2,3,2654.5,0,0.451,0.142,335,2.02,1.43,30.68,6,1.42,1,2.84,30.28,30.68,30.03,350.37,348.06,26.365,30.280,60.46,69.44,300.2,1499,8,99.25,6.05,-0.614,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,13:26:45,caferana1,sh,y2,3,2791.5,0,1.14,0.0775,508,1.26,1.59,30.78,6,1.42,1,2.84,30.30,30.78,30.03,549.96,546.31,26.406,28.848,60.48,66.07,300.2,1499,6,99.25,5.42,-0.562,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,13:29:15,caferana1,sh,y2,3,2941.0,0,1.33,0.0225,632,0.403,1.73,30.70,6,1.42,1,2.84,30.32,30.70,30.03,750.05,746.79,26.471,27.254,60.55,62.34,300.2,1500,7,99.24,4.25,-0.534,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,13:31:27,caferana1,sh,y2,3,3071.5,0,1.35,0.0123,795,0.223,1.75,30.64,6,1.42,1,2.84,30.32,30.64,30.03,1000.01,996.87,26.518,26.952,60.64,61.63,300.2,1500,12,99.24,1.85,-0.535,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,13:33:46,caferana1,sh,y2,3,3210.5,0,1.76,0.0101,934,0.183,1.74,30.62,6,1.42,1,2.84,30.32,30.62,30.03,1249.99,1246.02,26.554,26.910,60.73,61.54,300.2,1500,12,99.23,-1.58,-0.537,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,13:35:52,caferana1,sh,y2,3,3337.0,0,2.25,0.00895,1.05E+03,0.162,1.74,30.58,6,1.42,1,2.84,30.31,30.58,30.03,1499.95,1494.96,26.569,26.884,60.80,61.52,300.2,1500,10,99.23,-5.74,-0.534,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,13:37:23,caferana1,sh,y2,3,3427.5,0,2.86,0.00815,1.14E+03,0.146,1.72,30.50,6,1.42,1,2.84,30.28,30.50,30.03,1749.88,1743.66,26.571,26.855,60.90,61.55,300.2,1500,18,99.22,-10.5,-0.542,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,13:39:57,caferana1,sh,y2,3,3581.5,0,2.67,0.00802,1.41E+03,0.144,1.72,30.52,6,1.42,1,2.84,30.28,30.52,30.03,1999.90,1993.99,26.590,26.870,60.93,61.57,300.2,1500,15,99.22,-16,-0.545,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
