Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
4,11:39:44,232,sunish,young,4,562.5,0,-0.694,0.00622,225,0.137,2.11,29.60,6,1.42,1,2.84,29.30,29.60,29.55,50.42,51.45,20.459,20.660,49.59,50.08,399.9,1999,1,99.2,6.59,0.199,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
5,11:41:13,232,sunish,young,4,652.0,0,-0.52,0.0061,231,0.134,2.12,29.62,6,1.42,1,2.84,29.32,29.62,29.55,99.25,100.01,20.484,20.682,49.60,50.08,400.0,1999,1,99.2,6.5,0.2,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:42:50,232,sunish,young,4,748.5,0,-0.373,0.00559,251,0.122,2.1,29.56,6,1.42,1,2.84,29.33,29.56,29.55,150.77,151.30,20.518,20.697,49.64,50.08,400.0,2000,1,99.2,6.45,0.204,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:44:35,232,sunish,young,4,853.5,0,-0.179,0.00572,293,0.126,2.12,29.65,6,1.42,1,2.84,29.33,29.65,29.55,251.84,252.06,20.574,20.759,49.78,50.23,400.0,2000,1,99.2,6.05,0.218,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,11:46:20,232,sunish,young,4,958.5,0,-0.169,0.00527,390,0.115,2.1,29.60,6,1.42,1,2.84,29.36,29.60,29.55,351.00,351.19,20.623,20.792,49.83,50.24,400.0,2000,1,99.2,5.63,0.214,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,11:48:10,232,sunish,young,4,1068.5,0,0.177,0.0046,472,0.101,2.1,29.62,6,1.42,1,2.84,29.35,29.62,29.55,551.37,551.02,20.658,20.806,49.94,50.29,400.0,1999,1,99.2,3.88,0.208,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,11:50:02,232,sunish,young,4,1180.5,0,0.291,0.00462,625,0.1,2.09,29.58,6,1.42,1,2.84,29.35,29.58,29.55,750.68,750.13,20.679,20.827,49.98,50.34,400.0,1999,1,99.19,1.9,0.216,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,11:51:44,232,sunish,young,4,1282.5,0,0.379,0.00482,793,0.104,2.08,29.53,6,1.42,1,2.84,29.35,29.53,29.55,950.12,949.41,20.667,20.820,49.94,50.31,400.0,1999,1,99.18,-0.375,0.216,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,11:53:35,232,sunish,young,4,1394.0,0,0.666,0.00498,900,0.107,2.07,29.49,6,1.42,1,2.84,29.37,29.49,29.55,1150.41,1149.23,20.664,20.822,49.89,50.27,400.0,1999,1,99.18,-3.15,0.221,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,11:55:29,232,sunish,young,4,1507.5,0,0.711,0.00492,1.07E+03,0.107,2.09,29.57,6,1.42,1,2.84,29.37,29.57,29.55,1350.05,1348.76,20.671,20.827,49.89,50.27,400.0,2001,2,99.19,-5.81,0.225,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,11:57:20,232,sunish,young,4,1618.5,0,1.14,0.00517,1.15E+03,0.112,2.09,29.55,6,1.42,1,2.84,29.36,29.55,29.55,1550.29,1548.32,20.659,20.823,49.90,50.30,400.2,2001,1,99.19,-8.99,0.228,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,11:59:03,232,sunish,young,4,1721.5,0,1.22,0.00481,1.29E+03,0.104,2.08,29.52,6,1.42,1,2.84,29.36,29.52,29.55,1749.52,1747.42,20.637,20.790,49.84,50.21,400.0,2001,1,99.18,-12.2,0.224,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,12:00:49,232,sunish,young,4,1827.5,0,1.65,0.0049,1.4E+03,0.106,2.09,29.52,6,1.42,1,2.84,29.35,29.52,29.55,2000.88,1998.09,20.593,20.749,49.75,50.13,400.0,2001,1,99.17,-16.6,0.223,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,12:02:39,232,sunish,young,4,1937.5,0,1.89,0.00512,1.59E+03,0.111,2.08,29.47,6,1.42,1,2.84,29.35,29.47,29.55,2250.47,2247.27,20.526,20.688,49.61,50.00,400.0,2001,1,99.17,-21.3,0.222,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
