Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
79,14:15:35,us1,shade,position_3__from_most_apical_,5,10687.5,0,-0.972,0.04,87.5,0.913,2.21,32.22,6,1.25,1,2.5,29.94,32.22,29.95,49.23,50.62,25.240,26.573,58.78,61.88,400.0,1999,2,98.86,4.24,-0.273,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
80,14:17:14,us1,shade,position_3__from_most_apical_,5,10786.5,0,-0.331,0.0409,108,0.943,2.23,32.32,6,1.25,1,2.5,29.94,32.32,29.95,98.80,99.15,25.265,26.642,58.82,62.02,400.0,1999,2,98.86,4.7,-0.274,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
81,14:18:49,us1,shade,position_3__from_most_apical_,5,10881.5,0,0.392,0.0467,130,1,2.09,31.84,6,1.25,1,2.5,29.95,31.84,29.95,149.03,148.22,25.296,26.762,58.85,62.26,400.0,2001,2,98.86,5.12,-0.272,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
82,14:20:40,us1,shade,position_3__from_most_apical_,5,10992.5,0,1.83,0.0504,181,1.11,2.13,32.07,6,1.25,1,2.5,29.95,32.07,29.95,251.12,247.97,25.325,26.939,58.93,62.69,400.0,2000,2,98.85,5.68,-0.272,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
83,14:22:33,us1,shade,position_3__from_most_apical_,5,11105.5,0,3.4,0.0514,227,1.17,2.22,32.43,6,1.25,1,2.5,29.94,32.43,29.95,350.49,344.79,25.353,27.067,59.01,63.00,400.0,2000,3,98.85,5.67,-0.273,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
84,14:24:02,us1,shade,position_3__from_most_apical_,5,11194.5,0,4.07,0.059,269,1.23,2.02,31.75,6,1.25,1,2.5,29.95,31.75,29.95,399.22,392.40,25.382,27.171,59.06,63.22,400.0,2000,3,98.85,5.68,-0.289,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
85,14:25:55,us1,shade,position_3__from_most_apical_,5,11307.5,0,6.09,0.0577,351,1.27,2.14,32.23,6,1.25,1,2.5,29.95,32.23,29.95,549.51,539.34,25.422,27.275,59.14,63.45,400.1,2001,3,98.84,5.32,-0.287,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
86,14:27:51,us1,shade,position_3__from_most_apical_,5,11423.5,0,7.95,0.0659,518,1.33,1.97,31.62,6,1.25,1,2.5,29.94,31.62,29.95,749.12,735.74,25.458,27.393,59.25,63.75,400.0,2000,3,98.84,4.44,-0.282,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
87,14:29:45,us1,shade,position_3__from_most_apical_,5,11537.5,0,9.05,0.0653,730,1.36,2.04,31.92,6,1.25,1,2.5,29.94,31.92,29.95,1001.14,985.55,25.493,27.482,59.33,63.96,400.0,2000,4,98.83,2.53,-0.287,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
88,14:31:41,us1,shade,position_3__from_most_apical_,5,11653.5,0,9.99,0.064,941,1.33,2.03,31.88,6,1.25,1,2.5,29.94,31.88,29.95,1250.40,1232.95,25.533,27.474,59.43,63.94,400.0,2000,5,98.83,-0.437,-0.281,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
89,14:34:00,us1,shade,position_3__from_most_apical_,5,11793.0,0,10.4,0.064,1.17E+03,1.29,1.96,31.63,6,1.25,1,2.5,29.94,31.63,29.95,1499.01,1480.54,25.572,27.450,59.53,63.90,400.0,1999,4,98.82,-4.02,-0.282,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
90,14:36:13,us1,shade,position_3__from_most_apical_,5,11925.5,0,10.8,0.0564,1.36E+03,1.18,2.03,31.85,6,1.25,1,2.5,29.94,31.85,29.95,1748.91,1729.59,25.616,27.336,59.63,63.63,400.0,1999,5,98.82,-8.16,-0.275,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
91,14:38:05,us1,shade,position_3__from_most_apical_,5,12037.5,0,10.6,0.0473,1.55E+03,1.08,2.22,32.49,6,1.25,1,2.5,29.95,32.49,29.95,2000.04,1980.87,25.655,27.236,59.67,63.35,400.0,1999,6,98.81,-12.7,-0.27,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
92,14:40:17,us1,shade,position_3__from_most_apical_,5,12169.5,0,10.9,0.0426,1.74E+03,0.949,2.15,32.21,6,1.25,1,2.5,29.97,32.21,29.95,2249.61,2230.07,25.715,27.100,59.73,62.95,400.0,2000,10,98.81,-18.1,-0.27,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
