Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,08:58:34,232,shade,y2_or_y3,1,993.5,0,4.77,0.0131,1.36E+03,0.235,1.73,29.30,6,1.42,1,2.84,29.36,29.30,29.55,1998.76,1992.48,23.419,23.694,56.74,57.41,500.4,1500,1,99.47,-18.6,0.174,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,09:00:21,232,shade,y2_or_y3,1,1100.5,0,5.04,0.0146,1.39E+03,0.275,1.82,29.73,6,1.42,1,2.84,29.38,29.73,29.55,1999.95,1993.25,23.578,23.900,57.06,57.84,500.4,2000,1,99.48,-19,0.18,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,09:01:53,232,shade,y2_or_y3,1,1192.5,0,4.72,0.0134,1.38E+03,0.238,1.71,29.31,6,1.42,1,2.84,29.37,29.31,29.55,1999.73,1993.50,23.706,23.984,57.38,58.06,500.4,1499,0,99.48,-18.7,0.176,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,09:03:22,232,shade,y2_or_y3,1,1282.0,0,4.92,0.0133,1.35E+03,0.227,1.65,29.09,6,1.42,1,2.84,29.37,29.09,29.55,1999.62,1993.18,23.809,24.074,57.65,58.29,500.9,1251,0,99.48,-18.8,0.181,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,09:04:49,232,shade,y2_or_y3,1,1368.5,0,4.65,0.0129,1.37E+03,0.212,1.59,28.86,6,1.42,1,2.84,29.35,28.86,29.55,1999.32,1993.24,23.901,24.149,57.94,58.54,500.5,1000,0,99.47,-18.8,0.185,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,09:06:16,232,shade,y2_or_y3,1,1455.5,0,4.56,0.0123,1.36E+03,0.196,1.54,28.68,6,1.42,1,2.84,29.32,28.68,29.55,1999.01,1993.08,23.977,24.207,58.20,58.76,500.5,799,1,99.47,-18.7,0.176,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,09:07:46,232,shade,y2_or_y3,1,1545.5,0,4.04,0.0125,1.43E+03,0.188,1.46,28.36,6,1.42,1,2.84,29.30,28.36,29.55,1998.69,1993.40,24.051,24.272,58.46,58.99,500.4,501,1,99.47,-18.8,0.179,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,09:09:45,232,shade,y2_or_y3,1,1665.0,0,3.7,0.0118,1.45E+03,0.172,1.41,28.15,6,1.42,1,2.84,29.28,28.15,29.55,2000.09,1995.24,24.139,24.340,58.74,59.23,500.5,299,1,99.46,-18.8,0.171,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,09:11:18,232,shade,y2_or_y3,1,1758.0,0,3.63,0.0115,1.45E+03,0.163,1.37,28.02,6,1.42,1,2.84,29.26,28.02,29.55,1999.95,1995.21,24.196,24.387,58.95,59.42,500.7,199,1,99.46,-19.2,0.167,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,09:12:45,232,shade,y2_or_y3,1,1844.5,0,2.39,0.0108,1.6E+03,0.15,1.34,27.90,6,1.42,1,2.84,29.24,27.90,29.55,1999.74,1996.51,24.241,24.417,59.12,59.55,500.5,99,1,99.46,-18.9,0.173,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,09:14:18,232,shade,y2_or_y3,1,1937.5,0,1.36,0.0108,1.75E+03,0.148,1.32,27.83,6,1.42,1,2.84,29.23,27.83,29.55,1999.69,1997.70,24.285,24.459,59.25,59.68,500.5,49,2,99.46,-19.2,0.164,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,09:15:56,232,shade,y2_or_y3,1,2035.5,0,-1.01,0.0106,2.11E+03,0.143,1.3,27.77,6,1.42,1,2.84,29.22,27.77,29.55,1998.95,1999.82,24.355,24.522,59.48,59.89,500.5,9,2,99.46,-19.1,0.166,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,09:17:26,232,shade,y2_or_y3,1,2126.0,0,-1.12,0.0112,2.12E+03,0.151,1.3,27.79,6,1.42,1,2.84,29.24,27.79,29.55,2000.04,2001.01,24.418,24.595,59.54,59.97,500.5,0,2,99.46,-19.6,0.171,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
