Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,08:02:56,232,,ym,1,189.5,0,6.37,0.0942,273,1.02,1.07,30.27,6,1.42,1,2.84,30.03,30.27,30.13,398.43,390.31,31.607,32.789,73.63,76.39,499.4,2001,5,99.43,-3.78,0.0263,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,08:03:59,232,,ym,1,252.5,0,6.56,0.0944,272,0.949,0.994,29.97,6,1.42,1,2.84,30.03,29.97,30.13,400.22,391.89,31.666,32.769,73.76,76.33,499.4,1500,5,99.43,-3.81,0.0363,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,08:05:00,232,,ym,1,314.0,0,6.63,0.0946,271,0.907,0.948,29.78,6,1.42,1,2.84,30.03,29.78,30.13,400.17,391.78,31.732,32.786,73.92,76.37,499.5,1250,5,99.43,-3.73,0.0472,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,08:06:00,232,,ym,1,373.5,0,6.71,0.0925,267,0.849,0.907,29.61,6,1.42,1,2.84,30.02,29.61,30.13,400.12,391.66,31.775,32.762,74.05,76.35,499.5,1001,5,99.43,-3.81,0.0348,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,08:06:59,232,,ym,1,433.0,0,6.73,0.09,264,0.793,0.87,29.44,6,1.42,1,2.84,30.02,29.44,30.13,400.17,391.70,31.820,32.742,74.19,76.34,499.5,801,5,99.43,-3.86,0.0375,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,08:07:57,232,,ym,1,490.5,0,6.47,0.085,263,0.709,0.822,29.21,6,1.42,1,2.84,30.00,29.21,30.14,400.22,392.11,31.853,32.676,74.32,76.25,499.5,501,5,99.42,-3.8,0.0395,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,08:08:57,232,,ym,1,551.0,0,5.97,0.0798,266,0.638,0.787,29.04,6,1.42,1,2.84,29.99,29.04,30.13,400.18,392.70,31.877,32.618,74.44,76.17,499.4,301,5,99.42,-3.93,0.0387,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,08:09:59,232,,ym,1,613.0,0,5.6,0.0765,270,0.594,0.764,28.93,6,1.42,1,2.84,29.97,28.93,30.13,400.53,393.53,31.905,32.595,74.58,76.19,499.5,199,5,99.42,-4.02,0.0298,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,08:11:48,232,,ym,1,721.5,0,3.89,0.0775,309,0.577,0.733,28.80,6,1.42,1,2.84,29.95,28.80,30.13,400.55,395.61,31.951,32.622,74.78,76.35,499.4,101,5,99.42,-4.04,0.0337,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,08:13:23,232,,ym,1,816.5,0,2.37,0.0817,345,0.594,0.716,28.74,6,1.42,1,2.84,29.94,28.74,30.13,400.57,397.44,31.959,32.649,74.84,76.46,499.4,50,5,99.41,-4.13,0.0439,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,08:14:32,232,,ym,1,886.0,0,-0.497,0.0808,406,0.577,0.703,28.68,6,1.42,1,2.84,29.93,28.68,30.13,400.41,400.73,31.967,32.638,74.90,76.47,499.5,9,5,99.41,-4.21,0.028,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,08:16:00,232,,ym,1,973.5,0,-0.987,0.0895,415,0.627,0.692,28.66,6,1.42,1,2.84,29.93,28.66,30.13,400.39,401.28,31.981,32.710,74.91,76.62,499.4,0,5,99.41,-4.29,0.035,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
