Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,10:39:59,9,sun,y/m,2,812.0,0,9.59,0.0231,1.25E+03,0.679,2.83,32.34,6,1.42,1,2.84,30.13,32.34,29.94,2015.52,1999.10,19.555,20.552,45.16,47.47,400.0,1999,70,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,10:41:40,9,sun,y/m,2,913.0,0,9.67,0.0224,1.23E+03,0.639,2.76,32.05,6,1.42,1,2.84,30.13,32.05,29.94,2015.42,1998.99,19.577,20.515,45.22,47.39,400.0,1750,49,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,10:43:24,9,sun,y/m,2,1017.5,0,9.43,0.0218,1.23E+03,0.601,2.66,31.69,6,1.42,1,2.84,30.11,31.69,29.94,2015.31,1999.36,19.597,20.481,45.32,47.36,400.0,1501,35,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,10:45:05,9,sun,y/m,2,1118.5,0,8.91,0.0213,1.26E+03,0.565,2.57,31.32,6,1.42,1,2.84,30.11,31.32,29.95,2015.11,2000.05,19.624,20.454,45.40,47.31,400.0,1250,41,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,10:46:47,9,sun,y/m,2,1220.5,0,8.71,0.0207,1.25E+03,0.53,2.47,30.96,6,1.42,1,2.84,30.10,30.96,29.95,2014.95,2000.29,19.650,20.428,45.46,47.26,400.0,999,36,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,10:48:28,9,sun,y/m,2,1321.5,0,8.34,0.0204,1.28E+03,0.507,2.4,30.65,6,1.42,1,2.84,30.09,30.65,29.94,2014.78,2000.75,19.668,20.413,45.54,47.27,400.0,801,96,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,10:50:09,9,sun,y/m,2,1422.5,0,7.47,0.0196,1.32E+03,0.464,2.29,30.19,6,1.42,1,2.84,30.06,30.19,29.95,2013.19,2000.60,19.669,20.350,45.62,47.20,400.0,501,18,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,10:51:50,9,sun,y/m,2,1523.5,0,6.28,0.0191,1.41E+03,0.433,2.2,29.79,6,1.42,1,2.84,30.02,29.79,29.94,2011.18,2000.47,19.665,20.301,45.72,47.19,400.0,301,27,99.15,-8.74,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,10:53:58,9,sun,y/m,2,1651.0,0,5.56,0.0185,1.45E+03,0.413,2.16,29.62,6,1.42,1,2.84,30.01,29.62,29.95,2009.56,1999.98,19.656,20.263,45.73,47.14,400.0,201,28,99.14,-9.33,-0.14,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,10:56:06,9,sun,y/m,2,1779.0,0,3.79,0.0179,1.6E+03,0.393,2.13,29.47,6,1.42,1,2.84,29.99,29.47,29.94,2007.85,2000.99,19.660,20.237,45.77,47.11,400.0,100,28,99.14,-9.46,-0.144,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,10:58:14,9,sun,y/m,2,1907.0,0,1.97,0.0177,1.76E+03,0.385,2.11,29.39,6,1.42,1,2.84,29.99,29.39,29.94,2004.77,2000.65,19.682,20.248,45.81,47.13,400.0,50,30,99.13,-9.31,-0.141,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,11:00:24,9,sun,y/m,2,2037.5,0,-0.2,0.017,1.95E+03,0.367,2.08,29.29,6,1.42,1,2.84,29.98,29.29,29.94,2001.11,2000.31,19.717,20.257,45.94,47.19,400.0,10,24,99.13,-9.65,-0.145,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
