Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,09:42:15,9,shade,old,2,396.5,0,7.47,0.0227,1.36E+03,0.802,3.42,31.71,6,1.42,1,2.84,30.32,31.71,30.13,1999.12,1985.53,11.704,12.891,26.75,29.46,400.0,1999,7,99.2,-48.5,0.0298,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,09:43:46,9,shade,old,2,487.5,0,7.16,0.0221,1.37E+03,0.768,3.37,31.54,6,1.42,1,2.84,30.33,31.54,30.13,1999.07,1986.05,11.739,12.876,26.82,29.42,400.0,1749,8,99.2,-48.5,0.0298,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,09:45:17,9,shade,old,2,578.5,0,6.86,0.0215,1.38E+03,0.734,3.32,31.31,6,1.42,1,2.84,30.33,31.31,30.13,1998.86,1986.38,11.765,12.852,26.88,29.37,400.0,1500,5,99.2,-48.5,0.0298,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,09:46:48,9,shade,old,2,669.5,0,6.74,0.021,1.38E+03,0.702,3.25,31.04,6,1.42,1,2.84,30.30,31.04,30.13,1998.48,1986.29,11.784,12.824,26.97,29.35,400.0,1250,5,99.19,-48.5,0.0298,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,09:48:19,9,shade,old,2,760.5,0,6.22,0.0205,1.41E+03,0.673,3.18,30.77,6,1.42,1,2.84,30.27,30.77,30.13,2000.01,1988.67,11.805,12.801,27.06,29.34,400.0,1000,7,99.19,-48.5,0.0298,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,09:49:50,9,shade,old,2,851.5,0,5.94,0.02,1.42E+03,0.645,3.14,30.58,6,1.42,1,2.84,30.26,30.58,30.13,1999.62,1988.78,11.825,12.779,27.13,29.32,400.0,800,6,99.19,-48.5,0.0298,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,09:51:50,9,shade,old,2,971.5,0,5.72,0.0194,1.43E+03,0.607,3.04,30.16,6,1.42,1,2.84,30.24,30.16,30.13,1999.81,1989.41,11.842,12.741,27.20,29.27,400.0,500,1,99.19,-48.8,0.0302,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,09:53:50,9,shade,old,2,1091.5,0,5.01,0.0187,1.48E+03,0.577,2.99,29.97,6,1.42,1,2.84,30.20,29.97,30.13,2001.01,1991.77,11.857,12.712,27.29,29.25,400.0,301,4,99.2,-49,0.0301,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,09:55:50,9,shade,old,2,1211.5,0,4.58,0.0183,1.5E+03,0.56,2.96,29.84,6,1.42,1,2.84,30.19,29.84,30.13,2000.69,1992.14,11.856,12.686,27.31,29.22,400.0,199,6,99.19,-49.1,0.0315,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,09:58:16,9,shade,old,2,1357.5,0,3.95,0.0178,1.55E+03,0.537,2.93,29.71,6,1.42,1,2.84,30.17,29.71,30.13,2001.01,1993.48,11.852,12.648,27.32,29.16,400.0,100,6,99.19,-49.4,0.0342,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,10:00:16,9,shade,old,2,1477.5,0,2.92,0.0172,1.64E+03,0.517,2.91,29.60,6,1.42,1,2.84,30.15,29.60,30.13,2001.11,1995.19,11.845,12.611,27.34,29.11,400.0,49,5,99.19,-49.4,0.031,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,10:02:15,9,shade,old,2,1596.0,0,1.5,0.0169,1.76E+03,0.506,2.91,29.57,6,1.42,1,2.84,30.14,29.57,30.13,2000.87,1997.10,11.833,12.582,27.33,29.06,400.0,11,6,99.18,-49.6,0.0334,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
