Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,11:35:37,caferana,shade,old,3,191.5,0,9.76,0.0176,583,0.506,2.78,31.32,6,1.42,1,2.84,30.20,31.32,30.13,1536.89,1521.09,17.527,18.273,40.41,42.13,400.0,1500,65,99.36,-31.5,0.168,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,11:38:34,caferana,shade,old,3,369.0,0,10.9,0.0217,637,0.648,2.89,31.83,6,1.42,1,2.84,30.24,31.83,30.13,1517.70,1499.83,17.593,18.546,40.47,42.66,400.0,2000,36,99.36,-30.5,0.17,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,11:48:30,caferana,shade,old,3,966.0,0,10.9,0.0234,695,0.674,2.79,31.52,6,1.42,1,2.84,30.28,31.52,30.13,1516.93,1499.02,17.723,18.715,40.67,42.95,400.0,1500,22,99.34,-30.4,0.175,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,11:54:31,caferana,shade,old,3,1326.5,0,9.83,0.02,661,0.552,2.67,31.02,6,1.42,1,2.84,30.24,31.02,30.13,1516.54,1500.55,17.720,18.533,40.75,42.62,399.9,1000,27,99.33,-30.5,0.174,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:57:06,caferana,shade,old,3,1482.0,0,9,0.0195,709,0.529,2.63,30.84,6,1.42,1,2.84,30.23,30.84,30.13,1514.64,1499.94,17.751,18.531,40.84,42.64,399.9,801,33,99.33,-30.6,0.183,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:59:20,caferana,shade,old,3,1617.0,0,8.43,0.0184,716,0.487,2.56,30.55,6,1.42,1,2.84,30.21,30.55,30.13,1513.69,1499.97,17.772,18.489,40.93,42.58,400.2,500,23,99.32,-30.6,0.17,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:04:58,caferana,shade,old,3,1954.0,0,7.14,0.0175,795,0.45,2.49,30.26,6,1.42,1,2.84,30.17,30.26,30.13,1511.69,1499.96,17.807,18.470,41.11,42.64,400.0,300,22,99.32,-30.8,0.179,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:08:20,caferana,shade,old,3,2156.5,0,6.44,0.0169,839,0.43,2.47,30.17,6,1.42,1,2.84,30.16,30.17,30.13,1509.95,1499.33,17.862,18.495,41.25,42.71,400.0,200,22,99.31,-30.9,0.183,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:14:04,caferana,shade,old,3,2500.0,0,0.803,0.015,1.36E+03,0.376,2.43,30.00,6,1.42,1,2.84,30.15,30.00,30.13,1502.53,1500.47,17.917,18.471,41.41,42.69,399.9,9,22,99.3,-31,0.182,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:16:41,caferana,shade,old,3,2655.0,0,0.61,0.0143,1.37E+03,0.359,2.43,30.03,6,1.42,1,2.84,30.17,30.03,30.13,1502.94,1501.22,17.952,18.480,41.44,42.65,400.2,0,23,99.29,-31,0.184,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,12:56:47,caferana,shade,young,4,5062.0,0,5.66,0.0266,1.1E+03,0.659,2.4,30.16,6,1.42,1,2.84,30.24,30.16,30.13,1509.43,1499.45,18.183,19.153,41.76,43.99,399.9,101,29,99.22,-30.8,0.121,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
