Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,13:32:20,118,dappled,old,4,153.5,0,16,0.0926,1.91E+03,2.12,2.27,30.67,6,1.42,1,2.84,30.23,30.67,30.13,2299.31,2274.26,19.295,21.784,44.34,50.06,499.5,1500,10,99.22,-59.1,0.0159,0.7,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,13:37:22,118,dappled,old,4,462.5,0,17.3,0.0829,1.85E+03,1.99,2.37,31.05,6,1.42,1,2.84,30.25,31.05,30.13,2299.34,2273.16,19.342,21.684,44.40,49.77,499.5,2000,9,99.21,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,13:39:23,118,dappled,old,4,584.0,0,15.9,0.0745,1.85E+03,1.76,2.32,30.75,6,1.42,1,2.84,30.24,30.75,30.13,2299.21,2275.29,19.361,21.427,44.46,49.20,499.5,1501,14,99.21,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,13:41:24,118,dappled,old,4,705.0,0,14.2,0.0665,1.85E+03,1.54,2.27,30.43,6,1.42,1,2.84,30.22,30.43,30.13,2299.55,2278.34,19.341,21.148,44.48,48.64,499.5,1000,10,99.21,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,13:43:25,118,dappled,old,4,826.0,0,13.1,0.0617,1.86E+03,1.41,2.24,30.26,6,1.42,1,2.84,30.18,30.26,30.13,2299.80,2280.23,19.313,20.973,44.50,48.32,499.5,801,10,99.2,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,13:45:26,118,dappled,old,4,947.0,0,11.4,0.0566,1.88E+03,1.28,2.21,30.05,6,1.42,1,2.84,30.16,30.05,30.13,2300.06,2282.86,19.289,20.791,44.50,47.97,499.5,500,9,99.2,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,13:47:27,118,dappled,old,4,1068.0,0,9.46,0.0529,1.92E+03,1.18,2.19,29.91,6,1.42,1,2.84,30.14,29.91,30.13,2299.95,2285.34,19.271,20.662,44.50,47.71,499.4,300,9,99.19,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,13:49:28,118,dappled,old,4,1189.0,0,7.58,0.05,1.96E+03,1.11,2.18,29.81,6,1.42,1,2.84,30.13,29.81,30.13,2300.10,2287.93,19.252,20.561,44.50,47.52,499.5,201,14,99.19,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,13:51:29,118,dappled,old,4,1310.5,0,4.03,0.0472,2.08E+03,1.05,2.17,29.75,6,1.42,1,2.84,30.12,29.75,30.13,2300.03,2292.31,19.280,20.510,44.57,47.42,499.5,101,48,99.18,-59.1,0.0159,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,13:56:36,118,dappled,old,4,1617.0,0,0.95,0.043,2.18E+03,0.944,2.14,29.61,6,1.42,1,2.84,30.11,29.61,30.13,2299.77,2296.02,19.315,20.426,44.68,47.25,499.5,0,13,99.17,-61,0.0445,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,13:59:09,118,dappled,old,4,1770.0,0,0.827,0.0402,2.18E+03,0.891,2.16,29.68,6,1.42,1,2.84,30.13,29.68,30.13,2300.16,2296.70,19.350,20.399,44.71,47.13,499.3,0,11,99.17,-61,0.0507,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,14:01:42,118,dappled,old,4,1923.0,0,0.538,0.0371,2.19E+03,0.829,2.17,29.71,6,1.42,1,2.84,30.14,29.71,30.13,2300.25,2297.31,19.369,20.344,44.72,46.97,499.5,0,5,99.16,-60.8,0.0526,0.7,-0.22,2.74,1.00,0.00,0.16,111115,OK
