Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
14,12:56:26,11,sun(edge_of_cay),young/mature,4,2835.0,0,3.17,0.00548,509,0.193,3.4,31.73,6,1.42,1,2.84,29.54,31.73,30.13,1500.33,1495.14,12.820,13.105,30.73,31.41,400.0,2000,12,99.45,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,12:58:07,11,sun(edge_of_cay),young/mature,4,2936.0,0,3.48,0.00547,423,0.185,3.27,31.28,6,1.42,1,2.84,29.52,31.28,30.13,1500.22,1494.58,12.983,13.256,31.15,31.81,399.9,1501,29,99.45,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,12:59:48,11,sun(edge_of_cay),young/mature,4,3037.0,0,4,0.00587,354,0.19,3.13,30.83,6,1.42,1,2.84,29.50,30.83,30.13,1500.00,1493.58,13.152,13.433,31.60,32.27,400.0,1001,32,99.44,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,13:01:35,11,sun(edge_of_cay),young/mature,4,3144.0,0,4.69,0.00669,324,0.21,3.04,30.56,6,1.42,1,2.84,29.53,30.56,30.13,1500.22,1492.72,13.334,13.645,31.98,32.73,399.9,800,8,99.43,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,13:03:19,11,sun(edge_of_cay),young/mature,4,3248.5,0,5.08,0.0076,374,0.231,2.95,30.25,6,1.42,1,2.84,29.53,30.25,30.13,1500.07,1491.93,13.504,13.846,32.38,33.20,400.0,500,8,99.43,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,13:05:02,11,sun(edge_of_cay),young/mature,4,3351.5,0,5.63,0.00867,403,0.257,2.87,30.02,6,1.42,1,2.84,29.49,30.02,30.13,1499.89,1490.86,13.669,14.049,32.85,33.76,400.0,301,8,99.43,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,13:06:43,11,sun(edge_of_cay),young/mature,4,3452.5,0,5.81,0.00972,485,0.281,2.81,29.84,6,1.42,1,2.84,29.45,29.84,30.13,1499.90,1490.56,13.820,14.236,33.29,34.29,400.0,201,7,99.42,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,13:08:25,11,sun(edge_of_cay),young/mature,4,3554.5,0,4.56,0.0108,765,0.307,2.75,29.69,6,1.42,1,2.84,29.42,29.69,30.13,1499.65,1492.12,13.971,14.424,33.72,34.81,399.9,101,11,99.43,-32,0.152,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,13:10:33,11,sun(edge_of_cay),young/mature,4,3682.0,0,2.38,0.0117,1.11E+03,0.326,2.71,29.62,6,1.42,1,2.84,29.41,29.62,30.13,1499.59,1495.28,14.154,14.637,34.18,35.35,400.0,50,23,99.43,-32.1,0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,13:12:41,11,sun(edge_of_cay),young/mature,4,3810.0,0,-0.473,0.0129,1.49E+03,0.355,2.68,29.57,6,1.42,1,2.84,29.40,29.57,30.13,1499.58,1499.49,14.337,14.863,34.64,35.91,400.0,9,22,99.42,-32.3,0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,13:14:49,11,sun(edge_of_cay),young/mature,4,3938.0,0,-1.13,0.0139,1.56E+03,0.378,2.65,29.53,6,1.42,1,2.84,29.39,29.53,30.13,1499.58,1500.43,14.521,15.080,35.09,36.44,400.0,-0,13,99.41,-32.3,0.128,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
