Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
12,13:08:46,11,shade,y/m,4,1681.0,0,3.32,0.0129,1.03E+03,0.296,2.22,28.59,6,1.42,1,2.84,35.05,28.59,30.14,1499.12,1493.48,16.727,17.164,29.35,30.12,400.1,1499,7,99.39,-45.3,-0.0459,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,13:10:46,11,shade,y/m,4,1808.0,0,3.74,0.00863,753,0.217,2.43,29.48,6,1.42,1,2.84,34.67,29.48,29.99,1500.61,1494.51,16.799,17.119,30.11,30.68,400.0,2000,7,99.38,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,13:12:27,11,shade,y/m,4,1909.0,0,3.66,0.00752,668,0.191,2.46,29.57,6,1.42,1,2.84,34.70,29.57,30.19,1499.15,1493.24,16.820,17.101,30.09,30.60,400.3,1499,7,99.38,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,13:14:12,11,shade,y/m,4,2014.0,0,3.07,0.00824,853,0.197,2.31,28.96,6,1.42,1,2.84,34.92,28.96,30.16,1501.07,1496.03,16.840,17.130,29.76,30.28,400.0,1000,6,99.37,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,13:15:59,11,shade,y/m,4,2121.0,0,3.61,0.00864,780,0.206,2.3,28.95,6,1.42,1,2.84,34.90,28.95,30.13,1499.49,1493.62,16.870,17.173,29.85,30.38,400.0,799,6,99.37,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,13:17:40,11,shade,y/m,4,2222.0,0,4.01,0.00957,780,0.226,2.29,28.90,6,1.42,1,2.84,35.17,28.90,30.56,1501.24,1494.72,16.893,17.226,29.45,30.03,400.0,500,9,99.36,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,13:19:21,11,shade,y/m,4,2323.0,0,6.67,0.00738,10.7,0.188,2.46,29.62,6,1.42,1,2.84,34.01,29.62,30.12,1500.84,1490.41,16.953,17.230,31.51,32.03,400.0,299,8,99.36,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,13:21:02,11,shade,y/m,4,2424.0,0,7.06,0.00823,82.7,0.204,2.39,29.37,6,1.42,1,2.84,33.86,29.37,30.13,1501.06,1490.01,16.966,17.266,31.80,32.37,400.0,199,41,99.35,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,13:22:43,11,shade,y/m,4,2525.5,0,6.62,0.00928,311,0.225,2.35,29.18,6,1.42,1,2.84,33.78,29.18,30.14,1500.88,1490.45,16.970,17.302,31.95,32.57,400.0,101,38,99.35,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,13:24:25,11,shade,y/m,4,2627.5,0,5.03,0.00999,643,0.241,2.34,29.16,6,1.42,1,2.84,33.71,29.16,30.12,1500.84,1492.76,16.984,17.339,32.09,32.76,400.0,49,5,99.35,-45.3,-0.0459,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,13:26:32,11,shade,y/m,4,2753.5,0,-0.175,0.0128,1.47E+03,0.304,2.29,29.02,6,1.42,1,2.84,33.70,29.02,30.14,1500.85,1500.43,16.975,17.422,32.09,32.94,400.0,9,5,99.34,-41.6,0.00838,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,13:28:40,11,shade,y/m,4,2882.0,0,-0.794,0.0137,1.54E+03,0.32,2.27,28.91,6,1.42,1,2.84,33.64,28.91,30.13,1500.97,1501.44,16.970,17.442,32.20,33.09,400.0,-0,4,99.34,-41.5,0.0144,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
