Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,12:13:44,11,shade,old,4,1472.5,0,3.26,0.00789,1.27E+03,0.205,2.49,32.63,6,1.42,1,2.84,30.25,32.63,29.94,2004.62,1999.12,24.485,24.784,56.22,56.91,400.1,2000,3,99.26,-10.8,-0.231,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,12:15:25,11,shade,old,4,1573.5,0,3.42,0.00829,1.27E+03,0.207,2.39,32.26,6,1.42,1,2.84,30.24,32.26,29.94,2004.50,1998.74,24.437,24.739,56.16,56.86,400.1,1751,2,99.26,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,12:17:06,11,shade,old,4,1674.5,0,3.63,0.00835,1.24E+03,0.2,2.3,31.90,6,1.42,1,2.84,30.22,31.90,29.94,2006.08,2000.03,24.392,24.684,56.13,56.80,400.1,1501,4,99.26,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,12:18:47,11,shade,old,4,1775.5,0,4.03,0.00857,1.19E+03,0.195,2.19,31.48,6,1.42,1,2.84,30.18,31.48,29.94,2006.14,1999.52,24.364,24.650,56.17,56.83,400.0,1251,3,99.26,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,12:20:28,11,shade,old,4,1876.5,0,4.5,0.00851,1.1E+03,0.185,2.08,31.06,6,1.42,1,2.84,30.15,31.06,29.94,2006.51,1999.21,24.347,24.618,56.25,56.87,400.1,1001,4,99.25,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:22:09,11,shade,old,4,1977.5,0,4.74,0.00853,1.06E+03,0.177,2,30.71,6,1.42,1,2.84,30.11,30.71,29.94,2006.53,1998.89,24.333,24.592,56.34,56.94,400.1,800,3,99.25,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:23:50,11,shade,old,4,2079.0,0,4.83,0.00865,1.05E+03,0.168,1.87,30.20,6,1.42,1,2.84,30.06,30.20,29.94,2006.70,1998.94,24.319,24.565,56.46,57.03,400.0,500,3,99.25,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:25:31,11,shade,old,4,2180.0,0,4.87,0.00915,1.1E+03,0.17,1.79,29.86,6,1.42,1,2.84,30.03,29.86,29.94,2006.92,1999.10,24.275,24.524,56.46,57.04,400.1,301,3,99.24,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:27:12,11,shade,old,4,2281.0,0,4.44,0.00919,1.18E+03,0.167,1.75,29.65,6,1.42,1,2.84,30.00,29.65,29.94,2006.70,1999.54,24.238,24.482,56.46,57.03,400.0,199,4,99.24,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:28:53,11,shade,old,4,2382.0,0,3.5,0.00964,1.37E+03,0.171,1.71,29.47,6,1.42,1,2.84,29.98,29.47,29.94,2005.63,1999.86,24.208,24.458,56.46,57.04,400.0,100,5,99.24,-10.8,-0.231,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:31:00,11,shade,old,4,2508.0,0,2.39,0.00965,1.55E+03,0.171,1.7,29.45,6,1.42,1,2.84,29.97,29.45,29.94,2004.00,1999.91,24.158,24.408,56.38,56.96,400.0,50,7,99.24,-11.3,-0.243,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:33:07,11,shade,old,4,2635.5,0,0.957,0.0095,1.79E+03,0.164,1.67,29.27,6,1.42,1,2.84,29.95,29.27,29.94,2002.95,2001.02,24.134,24.374,56.37,56.93,400.1,10,8,99.24,-11.2,-0.245,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
