Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
67,14:00:50,us1,shade,position_2__from_most_apical_,4,9802.5,0,12.1,0.0291,1.26E+03,0.565,1.87,30.64,6,1.25,1,2.5,29.93,30.64,29.95,1999.91,1980.08,24.946,25.772,58.11,60.04,400.0,2000,5,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
68,14:01:31,us1,shade,position_2__from_most_apical_,4,9843.5,0,11.5,0.0275,1.26E+03,0.501,1.76,30.14,6,1.25,1,2.5,29.93,30.14,29.95,2000.11,1981.30,24.952,25.685,58.13,59.83,400.0,1500,6,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
69,14:02:08,us1,shade,position_2__from_most_apical_,4,9880.5,0,10.5,0.0236,1.22E+03,0.428,1.75,30.06,6,1.25,1,2.5,29.92,30.06,29.95,2000.02,1983.00,24.956,25.581,58.19,59.65,400.0,1000,6,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
70,14:02:45,us1,shade,position_2__from_most_apical_,4,9917.5,0,9.99,0.0216,1.19E+03,0.385,1.72,29.91,6,1.25,1,2.5,29.90,29.91,29.95,1999.96,1983.83,24.957,25.520,58.26,59.57,400.0,750,5,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
71,14:03:20,us1,shade,position_2__from_most_apical_,4,9952.5,0,9.06,0.0201,1.21E+03,0.35,1.68,29.74,6,1.25,1,2.5,29.88,29.74,29.95,1999.91,1985.28,24.962,25.474,58.33,59.53,400.0,501,5,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
72,14:03:57,us1,shade,position_2__from_most_apical_,4,9989.5,0,8.12,0.0184,1.23E+03,0.314,1.65,29.58,6,1.25,1,2.5,29.86,29.58,29.95,1999.73,1986.61,24.963,25.422,58.41,59.49,400.0,301,5,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
73,14:04:32,us1,shade,position_2__from_most_apical_,4,10024.5,0,6.96,0.0174,1.3E+03,0.294,1.63,29.51,6,1.25,1,2.5,29.84,29.51,29.95,1999.53,1988.21,24.963,25.393,58.46,59.47,400.0,201,5,98.87,-12.3,-0.235,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
74,14:05:39,us1,shade,position_2__from_most_apical_,4,10092.0,0,4.59,0.0154,1.47E+03,0.255,1.6,29.34,6,1.25,1,2.5,29.81,29.34,29.95,1999.51,1991.87,24.968,25.341,58.58,59.46,400.0,50,5,98.87,-13.5,-0.231,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
75,14:06:51,us1,shade,position_2__from_most_apical_,4,10164.0,0,1.88,0.0129,1.71E+03,0.215,1.6,29.34,6,1.25,1,2.5,29.79,29.34,29.95,1999.51,1996.05,24.983,25.297,58.68,59.42,400.0,9,5,98.87,-13.8,-0.235,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
76,14:07:56,us1,shade,position_2__from_most_apical_,4,10229.0,0,0.607,0.0118,1.86E+03,0.193,1.57,29.21,6,1.25,1,2.5,29.79,29.21,29.95,1999.47,1997.98,24.998,25.281,58.71,59.37,400.0,-3,4,98.87,-14,-0.233,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
