Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
30,15:14:40,caferana1,sh,o2,4,4872.0,0,8.35,0.0188,1.22E+03,0.356,1.81,31.36,6,1.42,1,2.84,30.29,31.36,30.03,2000.17,1982.08,27.491,28.182,62.87,64.45,300.2,2000,10,99.08,-15.4,-0.59,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,15:16:05,caferana1,sh,o2,4,4957.0,0,8.16,0.0184,1.22E+03,0.342,1.79,31.22,6,1.42,1,2.84,30.31,31.22,30.03,1999.94,1982.28,27.399,28.064,62.59,64.11,300.2,1751,12,99.08,-15.3,-0.584,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,15:17:38,caferana1,sh,o2,4,5049.5,0,8.09,0.0177,1.2E+03,0.323,1.75,31.05,6,1.42,1,2.84,30.30,31.05,30.03,1999.91,1982.46,27.317,27.944,62.42,63.86,300.2,1500,12,99.07,-15.5,-0.582,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,15:19:10,caferana1,sh,o2,4,5141.5,0,7.87,0.0169,1.19E+03,0.299,1.7,30.77,6,1.42,1,2.84,30.26,30.77,30.03,2000.13,1983.21,27.222,27.804,62.35,63.68,300.2,1251,14,99.07,-15.4,-0.574,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,15:20:31,caferana1,sh,o2,4,5222.0,0,7.58,0.0157,1.16E+03,0.27,1.65,30.53,6,1.42,1,2.84,30.23,30.53,30.03,1999.93,1983.71,27.143,27.668,62.28,63.49,300.2,1000,15,99.07,-15.5,-0.574,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,15:21:55,caferana1,sh,o2,4,5306.0,0,7.34,0.015,1.15E+03,0.251,1.61,30.32,6,1.42,1,2.84,30.20,30.32,30.03,2000.14,1984.47,27.073,27.560,62.23,63.35,300.2,800,16,99.07,-15.7,-0.57,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,15:23:16,caferana1,sh,o2,4,5387.0,0,6.56,0.0141,1.2E+03,0.229,1.56,30.06,6,1.42,1,2.84,30.17,30.06,30.03,1999.86,1985.84,26.998,27.443,62.17,63.20,300.2,501,23,99.06,-15.8,-0.568,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,15:24:44,caferana1,sh,o2,4,5474.5,0,5.97,0.0132,1.22E+03,0.208,1.51,29.84,6,1.42,1,2.84,30.14,29.84,30.03,1999.93,1987.17,26.930,27.334,62.13,63.06,300.1,301,26,99.06,-15.8,-0.563,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,15:26:11,caferana1,sh,o2,4,5562.0,0,5.6,0.0128,1.24E+03,0.198,1.49,29.71,6,1.42,1,2.84,30.11,29.71,30.03,2000.05,1988.07,26.909,27.293,62.18,63.07,300.2,200,28,99.06,-16,-0.566,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,15:27:32,caferana1,sh,o2,4,5642.5,0,4.25,0.0118,1.37E+03,0.18,1.46,29.59,6,1.42,1,2.84,30.08,29.59,30.03,2000.15,1990.94,26.909,27.259,62.28,63.09,300.2,100,20,99.06,-15.9,-0.566,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,15:28:52,caferana1,sh,o2,4,5722.5,0,3.07,0.0113,1.51E+03,0.17,1.44,29.53,6,1.42,1,2.84,30.07,29.53,30.03,2000.02,1993.20,26.953,27.283,62.42,63.19,300.1,50,24,99.06,-16.2,-0.569,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,15:30:12,caferana1,sh,o2,4,5803.0,0,1.41,0.0108,1.74E+03,0.161,1.43,29.47,6,1.42,1,2.84,30.05,29.47,30.03,1999.93,1996.46,26.990,27.302,62.56,63.28,300.2,11,17,99.06,-16.1,-0.57,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
