Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
18,12:11:06,232,sunish,young,5,2439.0,0,0.765,0.00855,1.79E+03,0.17,1.92,28.73,6,1.42,1,2.84,29.26,28.73,29.55,1999.90,1998.24,20.347,20.596,49.41,50.02,400.2,1501,1,99.16,-16.8,0.2,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,12:14:15,232,sunish,young,5,2633.5,0,1.13,0.00812,1.71E+03,0.166,1.98,28.96,6,1.42,1,2.84,29.27,28.96,29.55,1999.52,1997.33,20.295,20.539,49.26,49.85,399.9,2001,2,99.16,-17.2,0.207,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,12:15:42,232,sunish,young,5,2720.5,0,0.954,0.00751,1.73E+03,0.151,1.94,28.77,6,1.42,1,2.84,29.26,28.77,29.55,1999.32,1997.44,20.265,20.487,49.21,49.75,400.0,1501,2,99.16,-17.1,0.216,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,12:17:09,232,sunish,young,5,2808.0,0,0.869,0.00709,1.74E+03,0.14,1.9,28.60,6,1.42,1,2.84,29.25,28.60,29.55,1999.11,1997.39,20.240,20.446,49.19,49.69,400.0,1251,2,99.16,-17.3,0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,12:18:36,232,sunish,young,5,2895.0,0,0.968,0.00645,1.7E+03,0.125,1.87,28.45,6,1.42,1,2.84,29.23,28.45,29.55,1999.06,1997.23,20.224,20.408,49.20,49.65,400.0,999,2,99.16,-17.5,0.221,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,12:20:04,232,sunish,young,5,2983.0,0,0.775,0.00582,1.73E+03,0.111,1.84,28.32,6,1.42,1,2.84,29.22,28.32,29.55,1998.85,1997.36,20.221,20.384,49.22,49.62,400.0,799,2,99.16,-17.3,0.221,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,12:21:31,232,sunish,young,5,3069.5,0,0.861,0.0051,1.67E+03,0.0953,1.8,28.11,6,1.42,1,2.84,29.20,28.11,29.55,1998.99,1997.41,20.230,20.370,49.30,49.64,400.0,501,1,99.15,-17.4,0.217,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,12:22:58,232,sunish,young,5,3156.5,0,1.06,0.00478,1.59E+03,0.0879,1.77,27.99,6,1.42,1,2.84,29.19,27.99,29.55,1998.95,1997.09,20.236,20.365,49.35,49.66,399.9,300,1,99.15,-17.8,0.218,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,12:24:29,232,sunish,young,5,3247.5,0,0.623,0.00439,1.72E+03,0.0796,1.75,27.88,6,1.42,1,2.84,29.16,27.88,29.55,1998.84,1997.67,20.240,20.357,49.43,49.72,400.0,200,1,99.15,-17.4,0.215,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,12:25:58,232,sunish,young,5,3336.5,0,0.763,0.00435,1.66E+03,0.0784,1.74,27.83,6,1.42,1,2.84,29.16,27.83,29.55,1998.60,1997.22,20.245,20.360,49.47,49.75,400.1,100,1,99.15,-17.9,0.216,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,12:27:28,232,sunish,young,5,3427.0,0,0.427,0.00425,1.78E+03,0.0762,1.73,27.78,6,1.42,1,2.84,29.16,27.78,29.55,1998.62,1997.75,20.250,20.362,49.48,49.75,400.1,49,1,99.15,-17.4,0.217,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,12:28:55,232,sunish,young,5,3513.5,0,0.399,0.0043,1.8E+03,0.0766,1.72,27.73,6,1.42,1,2.84,29.14,27.73,29.55,1998.67,1997.84,20.246,20.359,49.51,49.79,400.1,9,2,99.15,-17.9,0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,12:30:25,232,sunish,young,5,3603.5,0,-0.269,0.00431,2.04E+03,0.0769,1.72,27.74,6,1.42,1,2.84,29.16,27.74,29.55,1998.64,1998.82,20.252,20.365,49.47,49.74,400.0,-0,2,99.16,-17.8,0.217,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
