Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,11:46:27,504,shade,mature,5,2051.5,0,16.7,0.179,1.78E+03,3.57,2.03,31.26,6,1.42,1,2.84,30.20,31.26,30.13,2036.99,2001.14,20.418,25.636,47.05,59.07,400.0,2000,7,99.32,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,11:47:47,504,shade,mature,5,2131.5,0,15.4,0.168,1.78E+03,3.27,1.98,30.88,6,1.42,1,2.84,30.20,30.88,30.13,2033.38,2000.46,20.409,25.185,47.03,58.03,400.0,1499,8,99.32,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,11:49:04,504,shade,mature,5,2208.5,0,13.8,0.157,1.79E+03,2.96,1.91,30.43,6,1.42,1,2.84,30.18,30.43,30.13,2030.09,2000.44,20.402,24.737,47.07,57.07,399.9,1001,8,99.32,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,11:50:21,504,shade,mature,5,2285.5,0,13.2,0.151,1.8E+03,2.82,1.88,30.24,6,1.42,1,2.84,30.17,30.24,30.13,2028.40,2000.20,20.396,24.528,47.08,56.62,400.0,799,7,99.31,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,11:51:22,504,shade,mature,5,2346.5,0,11.6,0.146,1.81E+03,2.66,1.84,29.98,6,1.42,1,2.84,30.16,29.98,30.13,2024.91,1999.47,20.394,24.290,47.10,56.10,400.0,501,7,99.31,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,11:52:25,504,shade,mature,5,2409.5,0,10.1,0.141,1.82E+03,2.53,1.81,29.77,6,1.42,1,2.84,30.15,29.77,30.13,2023.21,2000.38,20.396,24.104,47.15,55.72,399.9,300,7,99.31,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,11:53:35,504,shade,mature,5,2480.0,0,8.48,0.138,1.84E+03,2.46,1.79,29.64,6,1.42,1,2.84,30.13,29.64,30.13,2019.46,1999.37,20.411,24.006,47.23,55.54,399.9,200,12,99.3,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,11:54:58,504,shade,mature,5,2563.0,0,5.45,0.136,1.88E+03,2.39,1.77,29.54,6,1.42,1,2.84,30.12,29.54,30.13,2014.59,1999.26,20.449,23.942,47.35,55.44,400.0,101,7,99.31,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,11:56:18,504,shade,mature,5,2643.0,0,2.77,0.133,1.91E+03,2.32,1.76,29.46,6,1.42,1,2.84,30.10,29.46,30.13,2010.94,1999.81,20.467,23.869,47.43,55.31,400.0,50,7,99.3,-45.5,0.0136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,11:57:49,504,shade,mature,5,2734.0,0,0.78,0.131,1.93E+03,2.28,1.75,29.39,6,1.42,1,2.84,30.09,29.39,30.13,2007.45,1999.43,20.488,23.830,47.51,55.26,400.0,9,7,99.3,-46.2,0.0378,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,11:59:19,504,shade,mature,5,2823.5,0,-0.042,0.129,1.94E+03,2.23,1.74,29.32,6,1.42,1,2.84,30.09,29.32,30.13,2007.43,2000.79,20.500,23.771,47.54,55.13,400.0,0,5,99.3,-46.1,0.032,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,12:00:49,504,shade,mature,5,2914.0,0,0.092,0.126,1.94E+03,2.19,1.74,29.31,6,1.42,1,2.84,30.08,29.31,30.13,2007.30,2000.60,20.488,23.688,47.53,54.95,400.0,0,4,99.3,-46.2,0.038,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,12:02:19,504,shade,mature,5,3004.0,0,-0.0213,0.119,1.94E+03,2.09,1.76,29.31,6,1.42,1,2.84,30.08,29.31,30.13,2007.17,2000.92,20.477,23.539,47.52,54.62,400.0,0,4,99.3,-46.2,0.0416,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
