Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,15:12:55,9,shade,old,_epi,9,347.0,0,4.67,0.031,1.66E+03,0.887,2.76,32.45,6,1.42,1,2.84,30.37,32.45,29.94,1999.66,1990.00,20.355,21.656,46.22,49.17,400.1,1999,347,98.81,-8.08,-0.17,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,15:15:04,9,shade,old,_epi,9,475.5,0,4.63,0.0304,1.66E+03,0.845,2.68,32.16,6,1.42,1,2.84,30.37,32.16,29.94,1999.46,1990.00,20.417,21.657,46.35,49.16,400.1,1750,210,98.81,-8.58,-0.171,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,15:17:13,9,shade,old,_epi,9,605.0,0,4.15,0.029,1.68E+03,0.787,2.61,31.92,6,1.42,1,2.84,30.36,31.92,29.94,1998.91,1990.33,20.521,21.677,46.62,49.24,400.1,1500,328,98.8,-8.27,-0.178,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,15:19:22,9,shade,old,_epi,9,733.5,0,4.24,0.0286,1.67E+03,0.744,2.5,31.53,6,1.42,1,2.84,30.33,31.53,29.94,1998.94,1990.36,20.647,21.738,46.98,49.47,400.1,1251,158,98.8,-8.7,-0.169,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,15:21:31,9,shade,old,_epi,9,862.5,0,3.71,0.0283,1.71E+03,0.7,2.39,31.10,6,1.42,1,2.84,30.27,31.10,29.94,1998.56,1990.91,20.740,21.767,47.37,49.71,400.1,1000,118,98.8,-8.6,-0.178,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,15:23:40,9,shade,old,_epi,9,992.0,0,3.72,0.0278,1.7E+03,0.669,2.32,30.86,6,1.42,1,2.84,30.25,30.86,29.94,2000.17,1992.59,20.790,21.771,47.51,49.76,400.1,800,61,98.79,-8.76,-0.186,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,15:25:49,9,shade,old,_epi,9,1120.5,0,3.48,0.0272,1.72E+03,0.628,2.22,30.46,6,1.42,1,2.84,30.22,30.46,29.94,1999.83,1992.73,20.831,21.752,47.68,49.79,400.1,500,101,98.79,-9.06,-0.182,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,15:27:58,9,shade,old,_epi,9,1249.5,0,3.17,0.0269,1.74E+03,0.6,2.15,30.15,6,1.42,1,2.84,30.19,30.15,29.94,1999.90,1993.36,20.847,21.727,47.83,49.85,400.1,301,42,98.79,-9.2,-0.18,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,15:30:07,9,shade,old,_epi,9,1378.5,0,2.92,0.0266,1.75E+03,0.582,2.11,29.95,6,1.42,1,2.84,30.15,29.95,29.94,1999.76,1993.64,20.827,21.681,47.86,49.83,400.1,200,97,98.78,-9.53,-0.184,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,15:32:21,9,shade,old,_epi,9,1513.0,0,2.57,0.0263,1.77E+03,0.56,2.05,29.71,6,1.42,1,2.84,30.10,29.71,29.94,1999.82,1994.30,20.840,21.661,48.05,49.94,400.0,99,35,98.78,-9.73,-0.179,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,15:34:35,9,shade,old,_epi,9,1646.5,0,1.88,0.0262,1.82E+03,0.549,2.02,29.58,6,1.42,1,2.84,30.07,29.58,29.94,1999.93,1995.46,20.827,21.632,48.10,49.95,400.1,50,33,98.77,-9.83,-0.181,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,15:36:44,9,shade,old,_epi,9,1776.0,0,1.06,0.0259,1.87E+03,0.537,2,29.48,6,1.42,1,2.84,30.05,29.48,29.94,2000.10,1996.90,20.825,21.613,48.13,49.95,400.1,10,38,98.77,-10.1,-0.184,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
