Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,15:56:34,9,shade,young,9,168.5,0,5.04,0.0343,1.64E+03,1.26,3.54,32.37,6,1.42,1,2.84,30.65,32.37,30.13,1999.91,1988.60,11.653,13.513,26.02,30.17,400.0,1500,10,98.72,-43.9,0.101,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,15:58:34,9,shade,young,9,314.0,0,5.07,0.034,1.64E+03,1.3,3.7,32.97,6,1.42,1,2.84,30.67,32.97,30.12,2000.14,1988.64,11.660,13.587,25.99,30.29,399.9,1998,10,98.71,-43.9,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,16:00:10,9,shade,young,9,410.5,0,5.11,0.0333,1.63E+03,1.26,3.65,32.76,6,1.42,1,2.84,30.68,32.76,30.12,2000.68,1989.28,11.650,13.508,25.97,30.11,400.3,1749,10,98.71,-43.9,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,16:01:41,9,shade,young,9,501.5,0,5.04,0.0326,1.63E+03,1.21,3.59,32.50,6,1.42,1,2.84,30.68,32.50,30.12,2000.72,1989.55,11.641,13.433,25.94,29.93,400.0,1500,10,98.7,-43.9,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,16:03:12,9,shade,young,9,592.5,0,4.73,0.032,1.65E+03,1.16,3.51,32.20,6,1.42,1,2.84,30.66,32.20,30.12,2000.77,1990.21,11.642,13.361,25.97,29.80,400.0,1251,10,98.7,-43.9,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,16:04:44,9,shade,young,9,684.5,0,4.57,0.0315,1.65E+03,1.12,3.43,31.87,6,1.42,1,2.84,30.64,31.87,30.12,2000.84,1990.65,11.634,13.289,25.98,29.67,400.0,1001,9,98.7,-43.9,0.101,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,16:06:44,9,shade,young,9,804.5,0,4.58,0.0313,1.65E+03,1.09,3.35,31.57,6,1.42,1,2.84,30.62,31.57,30.13,2000.78,1990.67,11.635,13.243,26.01,29.61,400.0,800,10,98.69,-44.2,0.113,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,16:08:43,9,shade,young,9,923.0,0,4.23,0.0308,1.67E+03,1.04,3.26,31.17,6,1.42,1,2.84,30.59,31.17,30.12,2000.70,1991.26,11.630,13.165,26.05,29.48,399.9,500,9,98.68,-44.2,0.114,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,16:10:43,9,shade,young,9,1043.5,0,4.02,0.0304,1.68E+03,1,3.19,30.89,6,1.42,1,2.84,30.57,30.89,30.12,2000.79,1991.77,11.637,13.120,26.09,29.42,400.0,299,9,98.68,-44.4,0.112,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,16:12:42,9,shade,young,9,1162.0,0,3.75,0.0303,1.7E+03,0.986,3.15,30.73,6,1.42,1,2.84,30.55,30.73,30.12,2000.57,1992.00,11.638,13.097,26.12,29.39,400.0,199,8,98.68,-44.5,0.114,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,16:14:47,9,shade,young,9,1287.0,0,2.7,0.03,1.75E+03,0.961,3.11,30.56,6,1.42,1,2.84,30.53,30.56,30.12,2000.69,1993.77,11.660,13.083,26.20,29.40,400.0,99,7,98.68,-44.5,0.118,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,16:16:46,9,shade,young,9,1406.0,0,1.58,0.0297,1.81E+03,0.944,3.08,30.44,6,1.42,1,2.84,30.51,30.44,30.12,2000.61,1995.42,11.692,13.089,26.30,29.45,400.0,49,6,98.67,-44.6,0.119,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
